Construction Site,Supplier Name,Material Type,Location,Supplier Rating,Supply Capacity (tons/month),Average Delivery Time (days),Cost per Unit (INR),Workforce Allocation,Predicted Delay Reduction (days)
Site_5781,Supplier_82,Sand,Delhi,3,415,6,222.26,65,14
Site_5782,Supplier_66,Steel,Mumbai,5,123,5,305.69,56,12
Site_5783,Supplier_13,Sand,Mumbai,4,258,3,487.25,65,6
Site_5784,Supplier_62,Sand,Delhi,2,342,4,405.48,178,18
Site_5785,Supplier_74,Sand,Chennai,5,325,11,432.65,150,16
Site_5786,Supplier_79,Sand,Mumbai,5,195,14,456.36,76,5
Site_5787,Supplier_64,Bricks,Kolkata,3,401,6,447.23,117,18
Site_5788,Supplier_16,Bricks,Mumbai,1,271,3,238.55,180,19
Site_5789,Supplier_90,Cement,Bangalore,4,338,7,213.17,142,16
Site_5790,Supplier_59,Steel,Delhi,5,127,9,486.35,121,18
Site_5791,Supplier_47,Steel,Mumbai,2,374,8,270.44,195,14
Site_5792,Supplier_56,Bricks,Delhi,1,110,10,359.07,57,10
Site_5793,Supplier_87,Steel,Bangalore,3,215,6,376.07,170,5
Site_5794,Supplier_6,Sand,Chennai,3,83,13,170.95,143,4
Site_5795,Supplier_63,Sand,Kolkata,3,297,7,192.77,120,4
Site_5796,Supplier_43,Bricks,Mumbai,5,203,3,273.39,22,6
Site_5797,Supplier_75,Sand,Chennai,3,278,13,213.51,27,15
Site_5798,Supplier_86,Steel,Bangalore,2,253,5,373.27,77,7
Site_5799,Supplier_91,Cement,Mumbai,4,331,11,290.47,169,12
Site_5800,Supplier_12,Cement,Delhi,3,360,3,499.28,91,0
Site_5801,Supplier_62,Concrete,Kolkata,5,323,2,251.17,29,0
Site_5802,Supplier_19,Steel,Bangalore,3,184,14,184.88,48,12
Site_5803,Supplier_39,Concrete,Kolkata,3,108,2,492.32,180,18
Site_5804,Supplier_99,Steel,Kolkata,3,241,3,115.14,108,4
Site_5805,Supplier_47,Concrete,Mumbai,1,150,8,432.81,44,13
Site_5806,Supplier_32,Concrete,Chennai,3,352,4,177.76,93,4
Site_5807,Supplier_89,Cement,Delhi,2,116,11,253.55,123,5
Site_5808,Supplier_71,Steel,Mumbai,1,339,2,192.39,100,6
Site_5809,Supplier_62,Concrete,Bangalore,3,239,6,151.43,130,14
Site_5810,Supplier_80,Sand,Delhi,1,162,9,174.51,25,6
Site_5811,Supplier_54,Steel,Bangalore,5,351,10,242.9,50,3
Site_5812,Supplier_79,Concrete,Bangalore,2,390,8,141.94,171,2
Site_5813,Supplier_61,Cement,Delhi,4,103,6,252.61,62,15
Site_5814,Supplier_73,Cement,Bangalore,4,275,6,434.98,122,6
Site_5815,Supplier_79,Cement,Mumbai,4,124,3,249.13,80,5
Site_5816,Supplier_54,Sand,Kolkata,4,402,7,110.89,104,13
Site_5817,Supplier_96,Steel,Bangalore,5,271,14,156.64,168,9
Site_5818,Supplier_87,Sand,Mumbai,1,334,9,395.11,54,12
Site_5819,Supplier_56,Sand,Chennai,5,64,11,168.72,146,8
Site_5820,Supplier_48,Cement,Kolkata,5,186,7,248.18,69,16
Site_5821,Supplier_70,Concrete,Mumbai,1,160,2,416.69,125,19
Site_5822,Supplier_86,Steel,Bangalore,1,99,6,358.61,119,19
Site_5823,Supplier_52,Sand,Chennai,4,184,6,314.45,101,16
Site_5824,Supplier_10,Sand,Bangalore,5,300,14,381.74,33,9
Site_5825,Supplier_21,Cement,Chennai,2,289,3,205.22,150,17
Site_5826,Supplier_23,Cement,Chennai,5,57,3,268.05,67,2
Site_5827,Supplier_61,Steel,Kolkata,2,263,4,273.44,174,19
Site_5828,Supplier_98,Bricks,Kolkata,4,354,13,403.91,34,8
Site_5829,Supplier_78,Steel,Kolkata,2,497,3,357.1,123,6
Site_5830,Supplier_78,Concrete,Mumbai,4,269,10,120.49,86,7
Site_5831,Supplier_33,Bricks,Chennai,3,171,13,361.58,68,9
Site_5832,Supplier_59,Cement,Bangalore,5,357,2,215.85,98,6
Site_5833,Supplier_33,Bricks,Chennai,1,189,10,337.43,185,17
Site_5834,Supplier_54,Sand,Chennai,3,329,5,104.48,113,16
Site_5835,Supplier_18,Bricks,Mumbai,1,55,8,474.1,135,2
Site_5836,Supplier_49,Concrete,Bangalore,2,362,9,194.43,11,8
Site_5837,Supplier_77,Cement,Delhi,2,277,11,168.3,140,3
Site_5838,Supplier_58,Sand,Chennai,4,494,7,115.9,130,1
Site_5839,Supplier_75,Sand,Kolkata,2,407,1,284.9,16,9
Site_5840,Supplier_60,Cement,Kolkata,2,444,1,142.99,146,5
Site_5841,Supplier_88,Sand,Bangalore,5,51,12,219.28,158,9
Site_5842,Supplier_89,Sand,Chennai,2,309,5,303.15,115,12
Site_5843,Supplier_42,Steel,Kolkata,2,475,13,262.9,168,12
Site_5844,Supplier_49,Cement,Kolkata,2,339,3,228.44,62,10
Site_5845,Supplier_67,Cement,Delhi,2,54,5,358.24,193,10
Site_5846,Supplier_49,Cement,Mumbai,2,477,11,447.5,125,2
Site_5847,Supplier_43,Sand,Mumbai,3,179,1,184.31,178,0
Site_5848,Supplier_52,Sand,Chennai,5,204,10,418.41,52,2
Site_5849,Supplier_5,Concrete,Chennai,4,406,6,417.54,73,17
Site_5850,Supplier_30,Bricks,Bangalore,2,104,3,296.26,115,15
Site_5851,Supplier_88,Concrete,Mumbai,2,354,10,381.53,169,15
Site_5852,Supplier_27,Steel,Mumbai,5,317,8,329.46,115,8
Site_5853,Supplier_55,Cement,Kolkata,2,387,3,142.67,112,4
Site_5854,Supplier_51,Concrete,Kolkata,5,368,1,231.99,72,3
Site_5855,Supplier_12,Bricks,Delhi,5,89,1,165.69,91,9
Site_5856,Supplier_46,Sand,Chennai,4,290,5,302.87,124,6
Site_5857,Supplier_59,Steel,Mumbai,1,118,4,180.22,12,10
Site_5858,Supplier_22,Bricks,Chennai,3,316,11,465.16,51,12
Site_5859,Supplier_4,Bricks,Chennai,4,349,4,118.33,103,15
Site_5860,Supplier_74,Sand,Delhi,2,56,14,258.32,113,19
Site_5861,Supplier_23,Bricks,Bangalore,2,304,12,139.4,107,10
Site_5862,Supplier_78,Steel,Kolkata,5,469,11,381.56,170,11
Site_5863,Supplier_93,Bricks,Mumbai,5,473,11,288.26,87,10
Site_5864,Supplier_25,Concrete,Bangalore,1,260,4,276.45,129,5
Site_5865,Supplier_70,Sand,Bangalore,3,393,8,266.01,80,16
Site_5866,Supplier_78,Cement,Chennai,4,441,13,168.43,149,19
Site_5867,Supplier_46,Bricks,Mumbai,3,378,11,179.8,23,16
Site_5868,Supplier_74,Steel,Kolkata,4,311,8,130.15,125,9
Site_5869,Supplier_17,Sand,Bangalore,4,498,13,480.64,41,8
Site_5870,Supplier_90,Sand,Mumbai,2,448,10,451.19,76,7
Site_5871,Supplier_72,Bricks,Chennai,5,347,13,405.32,52,3
Site_5872,Supplier_6,Sand,Kolkata,5,222,5,473.54,33,9
Site_5873,Supplier_23,Concrete,Bangalore,5,146,2,118.2,19,14
Site_5874,Supplier_20,Sand,Bangalore,1,460,13,186.54,20,15
Site_5875,Supplier_7,Sand,Delhi,1,318,4,310.69,89,9
Site_5876,Supplier_77,Sand,Bangalore,3,100,12,372.07,41,15
Site_5877,Supplier_3,Sand,Chennai,4,397,8,366.02,175,15
Site_5878,Supplier_76,Concrete,Bangalore,5,341,7,338.7,155,2
Site_5879,Supplier_12,Cement,Delhi,2,463,8,132.06,179,11
Site_5880,Supplier_16,Bricks,Mumbai,4,307,14,209.82,12,2
Site_5881,Supplier_62,Concrete,Kolkata,4,372,7,380.87,108,14
Site_5882,Supplier_31,Cement,Bangalore,1,158,9,464.93,133,2
Site_5883,Supplier_18,Bricks,Bangalore,4,181,10,350.53,76,10
Site_5884,Supplier_49,Concrete,Chennai,4,304,10,342.71,173,14
Site_5885,Supplier_78,Cement,Chennai,4,409,7,133.86,114,18
Site_5886,Supplier_30,Steel,Mumbai,3,358,10,257.32,10,13
Site_5887,Supplier_78,Cement,Kolkata,2,206,13,458.9,23,18
Site_5888,Supplier_22,Cement,Chennai,1,451,5,293.23,91,3
Site_5889,Supplier_67,Steel,Mumbai,3,103,12,149.75,31,2
Site_5890,Supplier_27,Concrete,Kolkata,2,484,10,353.67,34,8
Site_5891,Supplier_62,Bricks,Delhi,4,464,2,450.57,183,5
Site_5892,Supplier_27,Sand,Kolkata,5,369,6,398.81,162,16
Site_5893,Supplier_95,Cement,Delhi,3,179,6,409.21,140,4
Site_5894,Supplier_76,Bricks,Chennai,2,401,14,387.86,135,9
Site_5895,Supplier_51,Concrete,Bangalore,1,381,1,476.49,186,11
Site_5896,Supplier_51,Cement,Chennai,1,67,9,440.22,121,3
Site_5897,Supplier_37,Steel,Kolkata,5,440,10,203.84,133,2
Site_5898,Supplier_89,Cement,Chennai,4,326,1,402.55,34,2
Site_5899,Supplier_13,Steel,Chennai,3,125,11,495.88,122,18
Site_5900,Supplier_3,Steel,Delhi,4,131,6,170.69,197,8
Site_5901,Supplier_18,Sand,Mumbai,3,475,4,227.79,196,15
Site_5902,Supplier_89,Sand,Chennai,3,220,12,270.04,178,9
Site_5903,Supplier_99,Cement,Delhi,3,302,3,455.43,100,7
Site_5904,Supplier_72,Concrete,Delhi,1,79,2,298.71,33,3
Site_5905,Supplier_12,Cement,Bangalore,1,189,10,198.59,167,10
Site_5906,Supplier_10,Steel,Mumbai,5,490,4,207.91,125,18
Site_5907,Supplier_82,Bricks,Delhi,5,134,11,283.25,91,15
Site_5908,Supplier_84,Concrete,Kolkata,4,332,6,451.13,189,1
Site_5909,Supplier_23,Steel,Delhi,1,209,4,456.73,59,15
Site_5910,Supplier_53,Concrete,Kolkata,5,179,13,451.16,149,12
Site_5911,Supplier_7,Concrete,Delhi,4,83,14,128.57,76,12
Site_5912,Supplier_27,Steel,Mumbai,3,427,13,428.95,96,11
Site_5913,Supplier_30,Concrete,Delhi,1,286,3,292.24,38,10
Site_5914,Supplier_97,Bricks,Bangalore,3,228,8,174.82,39,1
Site_5915,Supplier_12,Concrete,Mumbai,2,407,10,129.09,120,18
Site_5916,Supplier_91,Sand,Kolkata,5,387,12,250.44,130,17
Site_5917,Supplier_98,Sand,Delhi,3,260,6,461.39,79,7
Site_5918,Supplier_70,Steel,Mumbai,1,148,6,460.84,108,15
Site_5919,Supplier_89,Cement,Delhi,5,158,10,131.3,171,18
Site_5920,Supplier_4,Steel,Delhi,5,50,8,107.32,86,8
Site_5921,Supplier_99,Bricks,Chennai,1,457,3,408.78,93,15
Site_5922,Supplier_22,Cement,Kolkata,2,293,5,142.55,178,16
Site_5923,Supplier_8,Sand,Chennai,2,196,14,438.87,140,19
Site_5924,Supplier_77,Cement,Bangalore,1,97,4,445.6,43,18
Site_5925,Supplier_2,Cement,Kolkata,5,441,10,285.76,30,17
Site_5926,Supplier_89,Concrete,Chennai,1,256,3,465.61,60,2
Site_5927,Supplier_94,Concrete,Bangalore,3,128,14,177.21,26,3
Site_5928,Supplier_44,Steel,Kolkata,3,91,3,157.01,61,7
Site_5929,Supplier_98,Cement,Bangalore,1,489,7,141.52,171,11
Site_5930,Supplier_21,Sand,Kolkata,4,76,2,476.57,86,6
Site_5931,Supplier_72,Sand,Bangalore,4,51,2,457.49,107,8
Site_5932,Supplier_41,Concrete,Kolkata,4,468,12,196.71,56,0
Site_5933,Supplier_71,Steel,Delhi,5,242,13,172.17,138,11
Site_5934,Supplier_49,Sand,Delhi,1,91,10,259.09,139,15
Site_5935,Supplier_37,Concrete,Chennai,5,404,13,223.63,32,13
Site_5936,Supplier_9,Concrete,Bangalore,5,151,10,421.2,158,19
Site_5937,Supplier_91,Cement,Chennai,2,418,9,378.09,124,19
Site_5938,Supplier_57,Steel,Chennai,4,437,7,417.1,11,11
Site_5939,Supplier_11,Sand,Delhi,2,473,7,361.92,74,19
Site_5940,Supplier_15,Cement,Kolkata,4,452,14,271.36,87,6
Site_5941,Supplier_76,Sand,Delhi,2,465,5,400.19,104,13
Site_5942,Supplier_18,Bricks,Mumbai,5,140,8,387.98,33,4
Site_5943,Supplier_53,Cement,Bangalore,1,331,14,496.09,185,10
Site_5944,Supplier_44,Steel,Chennai,5,79,13,158.24,11,15
Site_5945,Supplier_77,Steel,Bangalore,1,248,10,248.86,119,19
Site_5946,Supplier_79,Steel,Kolkata,3,398,2,106.39,147,9
Site_5947,Supplier_32,Cement,Bangalore,5,133,12,370.67,17,6
Site_5948,Supplier_70,Concrete,Delhi,5,299,10,323.74,92,0
Site_5949,Supplier_8,Steel,Bangalore,4,397,3,141.45,136,11
Site_5950,Supplier_1,Sand,Chennai,1,167,5,302.89,79,8
Site_5951,Supplier_98,Cement,Mumbai,2,52,3,145.15,25,5
Site_5952,Supplier_33,Cement,Mumbai,5,295,9,494.58,106,10
Site_5953,Supplier_77,Steel,Mumbai,4,149,4,250.68,109,15
Site_5954,Supplier_95,Bricks,Kolkata,1,471,12,351.73,127,12
Site_5955,Supplier_15,Cement,Delhi,5,101,1,288.79,62,7
Site_5956,Supplier_70,Bricks,Mumbai,4,143,1,279.22,111,7
Site_5957,Supplier_39,Sand,Chennai,4,182,10,406.72,77,6
Site_5958,Supplier_31,Steel,Chennai,1,167,7,420.5,160,11
Site_5959,Supplier_9,Cement,Mumbai,3,279,6,397.52,110,3
Site_5960,Supplier_44,Cement,Mumbai,4,265,7,135.24,114,16
Site_5961,Supplier_95,Bricks,Kolkata,5,131,12,220.99,11,10
Site_5962,Supplier_47,Concrete,Bangalore,1,404,7,411.28,159,3
Site_5963,Supplier_17,Steel,Mumbai,4,286,13,387.15,60,17
Site_5964,Supplier_62,Bricks,Kolkata,1,259,5,296.33,155,6
Site_5965,Supplier_58,Cement,Mumbai,1,190,3,375.12,16,10
Site_5966,Supplier_24,Sand,Chennai,5,387,1,374.05,163,10
Site_5967,Supplier_73,Sand,Delhi,2,163,7,418.47,178,18
Site_5968,Supplier_65,Cement,Mumbai,3,386,2,444.32,123,9
Site_5969,Supplier_48,Concrete,Bangalore,5,82,12,420.26,137,4
Site_5970,Supplier_2,Cement,Delhi,5,157,10,415.97,128,9
Site_5971,Supplier_43,Cement,Delhi,1,451,10,292.02,87,10
Site_5972,Supplier_62,Cement,Bangalore,4,262,6,156.83,152,14
Site_5973,Supplier_34,Steel,Mumbai,5,389,13,382.05,184,0
Site_5974,Supplier_35,Bricks,Chennai,5,480,13,394.35,25,7
Site_5975,Supplier_93,Sand,Mumbai,5,434,2,466.43,59,15
Site_5976,Supplier_97,Steel,Bangalore,4,201,5,106.24,196,5
Site_5977,Supplier_62,Bricks,Bangalore,5,269,11,493.38,17,3
Site_5978,Supplier_92,Steel,Delhi,4,316,1,261.24,132,10
Site_5979,Supplier_75,Concrete,Mumbai,4,272,14,276.36,145,12
Site_5980,Supplier_16,Cement,Kolkata,2,440,13,156.8,20,4
Site_5981,Supplier_31,Bricks,Kolkata,1,120,11,261.19,68,6
Site_5982,Supplier_85,Concrete,Bangalore,3,323,12,347.42,133,18
Site_5983,Supplier_39,Concrete,Chennai,5,269,4,317.98,40,10
Site_5984,Supplier_11,Concrete,Delhi,5,236,7,365.95,99,10
Site_5985,Supplier_45,Cement,Bangalore,1,339,14,424.5,93,0
Site_5986,Supplier_15,Bricks,Kolkata,4,315,11,439.84,26,13
Site_5987,Supplier_54,Cement,Chennai,4,226,14,388.28,40,0
Site_5988,Supplier_11,Concrete,Bangalore,3,407,3,421.34,172,1
Site_5989,Supplier_73,Cement,Chennai,5,170,2,497.08,179,19
Site_5990,Supplier_93,Cement,Mumbai,3,184,4,373.66,55,2
Site_5991,Supplier_9,Concrete,Kolkata,4,112,2,218.48,45,8
Site_5992,Supplier_31,Concrete,Delhi,4,283,1,319.56,117,13
Site_5993,Supplier_60,Sand,Delhi,5,279,5,278.25,67,2
Site_5994,Supplier_44,Bricks,Mumbai,4,202,2,292.53,170,7
Site_5995,Supplier_56,Cement,Mumbai,3,247,10,344.5,193,3
Site_5996,Supplier_98,Sand,Bangalore,2,279,10,456.85,130,16
Site_5997,Supplier_16,Cement,Mumbai,5,172,7,404.92,51,3
Site_5998,Supplier_22,Cement,Kolkata,4,480,7,108.25,109,1
Site_5999,Supplier_75,Concrete,Bangalore,5,172,6,178.43,117,7
Site_6000,Supplier_49,Bricks,Delhi,2,173,6,104.29,117,4
Site_6001,Supplier_92,Sand,Kolkata,1,57,2,437.84,111,8
Site_6002,Supplier_46,Bricks,Delhi,2,91,13,401.08,133,17
Site_6003,Supplier_20,Concrete,Delhi,5,236,12,287.92,43,2
Site_6004,Supplier_59,Bricks,Delhi,1,445,6,221.34,13,12
Site_6005,Supplier_48,Sand,Kolkata,1,223,1,446.39,45,13
Site_6006,Supplier_95,Bricks,Mumbai,4,228,5,254.87,189,12
Site_6007,Supplier_93,Sand,Bangalore,2,453,2,226.2,17,15
Site_6008,Supplier_84,Cement,Chennai,4,370,1,141.47,25,7
Site_6009,Supplier_81,Sand,Kolkata,4,432,13,377.45,140,17
Site_6010,Supplier_99,Sand,Mumbai,1,381,10,357.5,19,16
Site_6011,Supplier_43,Concrete,Bangalore,3,183,8,252.13,176,4
Site_6012,Supplier_14,Concrete,Delhi,1,409,13,237.13,172,12
Site_6013,Supplier_84,Bricks,Delhi,1,144,4,302.9,34,2
Site_6014,Supplier_81,Bricks,Mumbai,4,335,1,152.47,187,9
Site_6015,Supplier_42,Steel,Kolkata,5,373,5,369.2,106,6
Site_6016,Supplier_30,Sand,Mumbai,1,159,6,404.09,47,11
Site_6017,Supplier_29,Bricks,Bangalore,1,179,6,361.07,113,19
Site_6018,Supplier_31,Cement,Delhi,2,377,4,493.39,40,12
Site_6019,Supplier_32,Sand,Kolkata,3,474,7,402.46,99,1
Site_6020,Supplier_41,Sand,Kolkata,3,260,13,421.65,154,10
Site_6021,Supplier_61,Concrete,Kolkata,2,417,14,193.16,63,2
Site_6022,Supplier_82,Cement,Delhi,4,451,14,438.86,173,13
Site_6023,Supplier_64,Sand,Chennai,3,57,12,378.86,59,1
Site_6024,Supplier_69,Bricks,Chennai,3,355,6,429.73,85,17
Site_6025,Supplier_85,Concrete,Chennai,2,452,10,232.41,129,15
Site_6026,Supplier_45,Steel,Chennai,1,491,14,428.17,101,1
Site_6027,Supplier_78,Sand,Kolkata,4,196,9,371.77,104,17
Site_6028,Supplier_15,Sand,Chennai,4,419,10,252.27,11,6
Site_6029,Supplier_21,Sand,Kolkata,3,371,7,339.65,199,7
Site_6030,Supplier_32,Bricks,Chennai,3,257,14,100.73,132,18
Site_6031,Supplier_53,Steel,Delhi,4,350,13,316.0,39,16
Site_6032,Supplier_11,Cement,Bangalore,1,455,11,437.17,90,3
Site_6033,Supplier_6,Bricks,Chennai,5,256,8,430.62,12,14
Site_6034,Supplier_13,Cement,Bangalore,5,488,13,132.89,118,2
Site_6035,Supplier_87,Sand,Mumbai,2,149,2,331.01,127,15
Site_6036,Supplier_29,Concrete,Kolkata,3,499,4,185.9,142,6
Site_6037,Supplier_22,Cement,Bangalore,3,471,9,134.86,69,3
Site_6038,Supplier_56,Concrete,Mumbai,4,333,14,296.45,114,15
Site_6039,Supplier_77,Concrete,Delhi,5,399,2,153.2,39,11
Site_6040,Supplier_98,Sand,Bangalore,3,340,10,271.91,45,18
Site_6041,Supplier_98,Cement,Chennai,4,458,12,134.68,73,17
Site_6042,Supplier_51,Steel,Chennai,5,498,9,308.32,132,0
Site_6043,Supplier_50,Sand,Kolkata,2,55,12,218.95,31,17
Site_6044,Supplier_91,Cement,Bangalore,3,379,14,487.12,15,8
Site_6045,Supplier_26,Concrete,Mumbai,2,335,6,211.1,140,13
Site_6046,Supplier_60,Bricks,Chennai,1,432,6,237.46,129,14
Site_6047,Supplier_29,Concrete,Mumbai,1,314,8,238.64,39,8
Site_6048,Supplier_61,Steel,Kolkata,5,178,14,449.47,151,7
Site_6049,Supplier_70,Concrete,Bangalore,2,125,7,166.13,115,17
Site_6050,Supplier_97,Cement,Bangalore,2,339,7,454.0,33,7
Site_6051,Supplier_81,Steel,Chennai,1,354,2,387.25,144,9
Site_6052,Supplier_3,Steel,Bangalore,3,152,10,227.01,70,3
Site_6053,Supplier_43,Bricks,Chennai,2,82,8,238.16,66,8
Site_6054,Supplier_58,Steel,Chennai,5,392,13,284.37,47,0
Site_6055,Supplier_33,Sand,Delhi,4,67,2,197.09,158,17
Site_6056,Supplier_4,Sand,Chennai,5,314,10,424.84,167,5
Site_6057,Supplier_86,Bricks,Mumbai,5,213,12,385.32,163,5
Site_6058,Supplier_47,Cement,Bangalore,2,229,13,201.44,31,0
Site_6059,Supplier_5,Concrete,Bangalore,3,253,6,379.3,21,9
Site_6060,Supplier_49,Concrete,Chennai,2,108,2,402.38,180,19
Site_6061,Supplier_26,Bricks,Mumbai,5,308,2,354.12,153,4
Site_6062,Supplier_23,Concrete,Mumbai,1,345,14,334.47,92,18
Site_6063,Supplier_65,Steel,Delhi,4,377,10,192.52,153,0
Site_6064,Supplier_27,Concrete,Bangalore,2,362,12,399.48,77,6
Site_6065,Supplier_93,Cement,Delhi,1,86,4,233.4,57,12
Site_6066,Supplier_1,Steel,Mumbai,5,86,5,323.42,188,7
Site_6067,Supplier_98,Bricks,Mumbai,5,275,14,404.01,58,1
Site_6068,Supplier_50,Concrete,Bangalore,1,364,10,248.45,43,13
Site_6069,Supplier_65,Concrete,Chennai,3,197,2,383.88,132,9
Site_6070,Supplier_97,Sand,Mumbai,4,170,3,448.43,99,4
Site_6071,Supplier_17,Sand,Mumbai,4,264,3,431.72,183,4
Site_6072,Supplier_56,Bricks,Kolkata,4,166,8,360.18,196,14
Site_6073,Supplier_52,Concrete,Chennai,2,150,14,101.25,38,8
Site_6074,Supplier_27,Concrete,Kolkata,2,257,8,472.33,33,12
Site_6075,Supplier_27,Cement,Chennai,2,246,11,101.62,128,11
Site_6076,Supplier_99,Cement,Delhi,3,419,2,101.75,84,2
Site_6077,Supplier_14,Concrete,Bangalore,1,99,3,272.69,71,12
Site_6078,Supplier_46,Bricks,Kolkata,3,188,7,369.34,144,15
Site_6079,Supplier_20,Sand,Chennai,2,201,4,324.89,172,13
Site_6080,Supplier_67,Concrete,Delhi,3,479,10,384.96,191,16
Site_6081,Supplier_58,Concrete,Kolkata,4,64,13,277.0,120,19
Site_6082,Supplier_59,Concrete,Bangalore,2,413,12,221.88,132,2
Site_6083,Supplier_24,Bricks,Mumbai,3,394,11,300.4,83,0
Site_6084,Supplier_79,Cement,Bangalore,1,266,8,188.42,179,0
Site_6085,Supplier_14,Sand,Kolkata,5,303,14,236.93,13,18
Site_6086,Supplier_10,Concrete,Chennai,1,323,12,401.59,19,16
Site_6087,Supplier_32,Concrete,Delhi,1,69,6,415.04,196,14
Site_6088,Supplier_36,Steel,Bangalore,3,496,5,110.29,115,11
Site_6089,Supplier_34,Cement,Chennai,3,381,3,267.54,29,18
Site_6090,Supplier_35,Sand,Chennai,2,70,3,395.68,104,2
Site_6091,Supplier_80,Steel,Kolkata,1,358,8,331.2,180,11
Site_6092,Supplier_50,Sand,Delhi,5,386,7,405.23,61,1
Site_6093,Supplier_80,Sand,Kolkata,3,170,1,323.64,176,12
Site_6094,Supplier_18,Cement,Delhi,3,224,1,156.29,152,6
Site_6095,Supplier_16,Concrete,Chennai,5,379,1,311.93,17,8
Site_6096,Supplier_10,Concrete,Kolkata,5,107,3,142.05,66,9
Site_6097,Supplier_97,Bricks,Chennai,4,371,2,363.91,43,17
Site_6098,Supplier_78,Sand,Mumbai,5,439,2,208.86,107,10
Site_6099,Supplier_41,Cement,Delhi,1,443,2,294.18,116,3
Site_6100,Supplier_82,Bricks,Bangalore,1,280,4,221.46,24,7
Site_6101,Supplier_18,Sand,Bangalore,4,305,2,104.51,70,19
Site_6102,Supplier_45,Sand,Kolkata,2,146,8,437.99,43,8
Site_6103,Supplier_26,Bricks,Mumbai,4,489,7,122.88,63,4
Site_6104,Supplier_82,Bricks,Chennai,5,289,7,188.01,27,17
Site_6105,Supplier_29,Steel,Bangalore,4,153,13,230.41,130,4
Site_6106,Supplier_11,Steel,Bangalore,2,268,7,356.48,30,2
Site_6107,Supplier_99,Bricks,Delhi,4,342,8,378.89,183,6
Site_6108,Supplier_56,Bricks,Mumbai,5,295,12,433.79,22,18
Site_6109,Supplier_26,Sand,Bangalore,4,73,5,165.85,19,10
Site_6110,Supplier_98,Concrete,Delhi,5,275,2,436.33,23,2
Site_6111,Supplier_41,Cement,Chennai,4,154,13,111.83,69,7
Site_6112,Supplier_39,Concrete,Delhi,2,140,7,254.79,88,13
Site_6113,Supplier_21,Cement,Chennai,1,352,3,217.48,168,16
Site_6114,Supplier_87,Cement,Delhi,3,104,4,471.13,27,19
Site_6115,Supplier_34,Concrete,Delhi,4,481,13,242.45,34,17
Site_6116,Supplier_57,Concrete,Bangalore,3,227,4,479.44,161,18
Site_6117,Supplier_98,Cement,Kolkata,5,214,8,180.31,28,15
Site_6118,Supplier_77,Cement,Kolkata,3,107,6,311.38,177,12
Site_6119,Supplier_38,Steel,Bangalore,1,441,5,412.51,22,13
Site_6120,Supplier_80,Cement,Kolkata,5,334,6,439.92,166,7
Site_6121,Supplier_18,Cement,Kolkata,5,443,2,276.23,90,11
Site_6122,Supplier_30,Concrete,Delhi,1,259,5,163.95,57,3
Site_6123,Supplier_61,Cement,Bangalore,3,223,1,477.48,34,2
Site_6124,Supplier_70,Concrete,Bangalore,2,119,14,152.53,78,6
Site_6125,Supplier_20,Sand,Bangalore,1,310,10,236.47,126,12
Site_6126,Supplier_55,Bricks,Kolkata,3,199,2,449.57,169,15
Site_6127,Supplier_29,Cement,Delhi,3,464,10,350.63,61,4
Site_6128,Supplier_73,Cement,Chennai,4,354,4,116.36,75,10
Site_6129,Supplier_23,Concrete,Mumbai,4,293,2,266.81,44,18
Site_6130,Supplier_53,Steel,Delhi,5,249,9,129.87,16,5
Site_6131,Supplier_60,Concrete,Delhi,4,384,13,137.72,144,9
Site_6132,Supplier_46,Sand,Mumbai,1,252,3,188.77,55,0
Site_6133,Supplier_7,Bricks,Bangalore,5,160,7,371.41,129,2
Site_6134,Supplier_10,Bricks,Delhi,4,265,11,142.71,43,2
Site_6135,Supplier_68,Concrete,Delhi,5,341,8,335.79,164,13
Site_6136,Supplier_81,Cement,Delhi,1,65,6,377.06,155,12
Site_6137,Supplier_47,Bricks,Delhi,5,193,7,311.09,23,7
Site_6138,Supplier_26,Bricks,Mumbai,2,167,1,384.61,98,13
Site_6139,Supplier_32,Bricks,Delhi,3,333,14,471.64,39,15
Site_6140,Supplier_3,Concrete,Kolkata,2,354,14,383.66,118,15
Site_6141,Supplier_98,Concrete,Kolkata,1,396,6,160.41,17,10
Site_6142,Supplier_5,Concrete,Bangalore,5,318,6,147.82,84,17
Site_6143,Supplier_63,Concrete,Delhi,4,338,9,442.76,152,12
Site_6144,Supplier_5,Bricks,Mumbai,2,402,9,286.39,103,7
Site_6145,Supplier_16,Sand,Mumbai,3,418,11,470.87,25,13
Site_6146,Supplier_41,Bricks,Kolkata,1,299,8,145.31,136,18
Site_6147,Supplier_88,Concrete,Delhi,3,492,7,332.69,86,10
Site_6148,Supplier_20,Cement,Kolkata,5,440,2,474.79,172,0
Site_6149,Supplier_30,Steel,Mumbai,4,178,4,254.54,156,14
Site_6150,Supplier_74,Bricks,Bangalore,4,361,10,494.66,32,10
Site_6151,Supplier_68,Concrete,Bangalore,5,439,1,114.82,80,9
Site_6152,Supplier_96,Steel,Mumbai,2,191,14,216.55,150,12
Site_6153,Supplier_71,Cement,Bangalore,4,178,1,230.58,142,7
Site_6154,Supplier_80,Bricks,Bangalore,5,254,5,393.62,142,1
Site_6155,Supplier_55,Steel,Delhi,3,294,1,288.71,35,15
