Project ID,City,Tunnel Length (km),Num of Stations,Num of Workers,Equipment Factor (%),Signal System Complexity (%),Material Factor (%),Gov Regulation Factor (%),Urban Congestion Impact (%),Expected Completion Time (months),Budget (in Crores),Delay time (days),Risk Level
METRO-11398,Kolkata,4.77,34,3258,34,26,0,77,77,91,1676.32,123,Medium
METRO-11399,Delhi,45.69,85,291,28,26,61,71,10,39,4684.16,189,Medium
METRO-11400,Mumbai,12.42,24,3375,22,85,58,90,29,30,4705.45,158,Medium
METRO-11401,Kolkata,17.86,60,2170,73,20,89,52,1,101,4838.47,88,Medium
METRO-11402,Hyderabad,14.74,78,2843,93,30,36,93,34,75,4609.77,212,Medium
METRO-11403,Bangalore,21.27,28,1742,94,60,5,77,28,25,4699.9,183,Medium
METRO-11404,Hyderabad,35.99,16,3672,23,97,23,39,81,42,2508.43,279,Medium
METRO-11405,Chennai,43.66,95,4118,77,69,46,57,98,36,1753.18,1,Medium
METRO-11406,Bangalore,9.95,19,258,74,12,63,81,90,98,2097.05,73,Medium
METRO-11407,Bangalore,34.63,77,3485,64,39,35,76,50,88,3926.18,167,Medium
METRO-11408,Hyderabad,18.28,86,2109,43,14,82,28,4,58,1110.94,83,Low
METRO-11409,Delhi,49.05,52,4828,25,90,55,27,68,107,520.51,226,Medium
METRO-11410,Bangalore,15.65,65,2822,55,58,81,47,86,52,3692.1,209,Medium
METRO-11411,Chennai,1.35,75,3972,19,94,79,51,21,63,2813.54,203,Medium
METRO-11412,Kolkata,26.27,32,4098,65,41,16,67,27,119,3826.45,21,Medium
METRO-11413,Delhi,8.39,7,1329,32,22,10,90,24,100,3351.35,139,Low
METRO-11414,Delhi,3.18,20,3949,46,63,3,35,3,102,1211.21,286,Low
METRO-11415,Delhi,35.22,40,3324,44,98,79,23,45,84,3433.56,124,Medium
METRO-11416,Bangalore,36.88,8,1548,44,53,8,56,32,67,4886.58,227,Low
METRO-11417,Delhi,23.57,13,1104,80,7,86,87,90,115,3142.38,110,Medium
METRO-11418,Hyderabad,34.17,16,1878,69,96,73,2,22,36,1424.8,222,Medium
METRO-11419,Delhi,27.37,78,311,11,27,89,44,37,92,1314.25,345,Medium
METRO-11420,Chennai,31.86,48,3460,78,70,99,18,52,112,1341.1,168,Medium
METRO-11421,Mumbai,30.24,70,277,55,99,38,48,62,112,3665.56,122,Medium
METRO-11422,Chennai,33.63,23,3842,66,12,66,8,3,64,4168.85,232,Low
METRO-11423,Bangalore,10.78,17,4369,21,41,83,85,36,78,1206.22,256,Medium
METRO-11424,Delhi,14.17,59,4950,37,30,80,21,92,81,4914.88,93,Medium
METRO-11425,Delhi,22.56,69,722,84,12,46,54,0,53,3488.2,213,Medium
METRO-11426,Hyderabad,22.86,96,743,98,34,27,15,66,67,2191.48,319,Medium
METRO-11427,Kolkata,38.95,74,130,42,49,0,71,3,70,1853.24,50,Low
METRO-11428,Delhi,19.0,7,103,90,70,35,80,17,32,3865.77,27,Medium
METRO-11429,Chennai,8.96,29,117,5,21,88,36,45,78,2855.79,194,Low
METRO-11430,Bangalore,13.32,56,1461,10,39,96,26,6,25,2099.45,266,Low
METRO-11431,Mumbai,11.52,20,4427,16,51,49,34,60,95,1039.76,18,Medium
METRO-11432,Delhi,36.85,47,1925,99,97,84,34,0,114,3241.07,131,Medium
METRO-11433,Mumbai,24.05,60,147,94,8,93,77,92,93,2691.72,296,High
METRO-11434,Delhi,35.72,72,3261,12,31,76,51,56,94,3725.29,167,Medium
METRO-11435,Bangalore,21.39,12,2147,47,98,38,40,12,118,4923.81,190,Medium
METRO-11436,Kolkata,44.6,84,388,92,2,49,21,89,28,2525.37,75,Medium
METRO-11437,Chennai,49.19,48,269,37,63,22,21,23,89,4873.66,156,Low
METRO-11438,Bangalore,33.82,42,3043,83,20,52,74,27,59,685.54,290,Medium
METRO-11439,Mumbai,43.33,27,4294,37,76,5,95,51,63,3096.9,56,Medium
METRO-11440,Delhi,25.89,10,4878,48,96,82,90,69,78,4223.0,253,High
METRO-11441,Mumbai,46.8,47,4892,98,35,9,19,8,45,1419.75,43,Low
METRO-11442,Chennai,41.75,48,2290,64,9,15,45,26,49,2823.86,176,Low
METRO-11443,Bangalore,49.6,84,405,49,99,76,33,58,118,4182.48,190,Medium
METRO-11444,Mumbai,31.53,84,3926,12,17,21,82,53,47,2729.5,34,Low
METRO-11445,Mumbai,39.18,27,674,90,94,65,61,30,76,3134.81,338,Medium
METRO-11446,Chennai,27.6,20,1269,2,0,41,9,43,51,782.97,363,Low
METRO-11447,Delhi,13.7,80,3846,83,30,89,12,83,34,4413.37,96,Medium
METRO-11448,Mumbai,18.38,13,100,27,25,4,91,84,85,534.5,41,Medium
METRO-11449,Chennai,44.81,86,4565,69,79,93,7,92,55,2802.77,59,Medium
METRO-11450,Delhi,3.74,13,341,45,37,36,85,23,55,2635.81,308,Medium
METRO-11451,Kolkata,29.98,89,3938,45,54,85,53,67,104,882.18,275,Medium
METRO-11452,Delhi,19.25,62,3110,8,75,50,91,12,110,1533.98,220,Medium
METRO-11453,Kolkata,19.95,69,2637,61,42,81,15,35,107,3770.22,254,Medium
METRO-11454,Bangalore,44.34,63,4960,44,42,92,16,47,105,4535.85,22,Medium
METRO-11455,Chennai,42.84,27,2269,32,50,18,39,44,74,1256.2,109,Low
METRO-11456,Delhi,30.34,73,2741,3,92,3,48,9,72,4818.0,122,Low
METRO-11457,Kolkata,14.37,23,4193,12,59,71,61,20,73,1305.99,340,Medium
METRO-11458,Kolkata,24.3,39,3144,51,57,26,18,79,82,3268.64,20,Medium
METRO-11459,Bangalore,21.01,59,1935,37,59,54,48,52,36,3431.73,328,Medium
METRO-11460,Hyderabad,18.33,86,1984,64,75,92,37,94,82,3530.26,306,Medium
METRO-11461,Chennai,6.04,44,432,45,4,96,81,55,98,3915.78,45,Medium
METRO-11462,Hyderabad,27.61,18,4017,88,41,6,61,77,65,3003.11,259,Medium
METRO-11463,Delhi,15.79,88,3862,0,1,60,36,62,97,623.32,258,Low
METRO-11464,Chennai,33.38,17,4281,31,59,98,92,17,118,2884.02,357,Medium
METRO-11465,Bangalore,16.64,57,876,48,11,67,14,78,103,4248.5,172,Medium
METRO-11466,Delhi,22.13,84,1595,18,13,25,84,64,42,3094.36,132,Medium
METRO-11467,Chennai,3.57,99,469,80,46,58,60,32,105,1205.71,150,Medium
METRO-11468,Chennai,49.63,43,680,51,53,76,55,31,66,1425.17,358,Medium
METRO-11469,Hyderabad,25.87,88,1741,38,93,74,6,74,82,2732.01,225,Medium
METRO-11470,Delhi,2.19,69,1662,61,34,38,35,79,55,1048.4,78,Medium
METRO-11471,Bangalore,27.52,60,4587,40,46,33,85,3,114,1079.51,306,Medium
METRO-11472,Bangalore,43.65,44,2153,75,16,24,36,49,58,3090.33,2,Low
METRO-11473,Delhi,38.86,50,1944,19,2,84,69,13,30,4787.82,40,Medium
METRO-11474,Delhi,35.34,81,537,21,72,35,39,34,45,1594.78,107,Medium
METRO-11475,Kolkata,7.83,11,3288,30,59,65,77,45,108,2602.79,353,Medium
METRO-11476,Mumbai,33.23,49,2090,97,70,88,16,7,113,1954.37,232,Medium
METRO-11477,Hyderabad,38.55,26,3847,86,63,95,0,38,70,3805.33,10,Medium
METRO-11478,Delhi,29.05,11,3162,55,83,64,43,47,97,2910.13,51,Medium
METRO-11479,Delhi,44.74,88,4067,18,60,96,65,97,49,3187.77,217,Medium
METRO-11480,Mumbai,14.57,56,3481,65,75,5,41,58,105,2893.68,28,Medium
METRO-11481,Mumbai,12.87,72,4758,65,6,12,44,0,81,4154.36,205,Low
METRO-11482,Chennai,43.61,74,1766,37,92,16,45,75,95,1313.6,119,Medium
METRO-11483,Bangalore,31.64,71,4715,38,61,79,99,30,69,4329.86,146,Medium
METRO-11484,Hyderabad,1.07,7,3599,75,28,37,54,47,28,1037.4,57,Medium
METRO-11485,Chennai,18.3,62,2561,27,17,85,20,29,61,3218.83,294,Low
METRO-11486,Delhi,43.03,71,925,10,1,42,4,15,51,2729.97,262,Low
METRO-11487,Mumbai,2.34,58,991,92,47,40,83,40,62,2249.8,126,Medium
METRO-11488,Kolkata,1.16,13,3518,20,10,70,40,77,27,2879.01,131,Medium
METRO-11489,Bangalore,14.78,58,3530,28,25,1,85,84,83,1672.49,244,Medium
METRO-11490,Chennai,45.79,84,416,92,90,0,39,23,77,2306.74,186,Medium
METRO-11491,Kolkata,45.17,55,1883,41,18,18,86,64,28,661.15,256,Medium
METRO-11492,Bangalore,26.42,20,1121,11,58,15,64,99,30,4988.51,207,Medium
METRO-11493,Kolkata,28.11,16,4394,1,83,33,12,10,110,906.91,343,Low
METRO-11494,Mumbai,17.27,24,1199,39,87,92,87,88,71,4229.59,344,High
METRO-11495,Chennai,12.94,57,4053,62,12,71,88,76,64,2094.69,178,Medium
METRO-11496,Chennai,40.95,35,2567,32,5,89,91,79,110,3810.21,243,Medium
METRO-11497,Bangalore,6.21,98,3777,45,39,10,67,92,43,2038.8,236,Medium
METRO-11498,Kolkata,24.88,25,3617,9,36,73,22,18,67,4766.38,320,Low
METRO-11499,Mumbai,32.09,7,2550,10,64,67,3,78,114,1163.17,213,Medium
METRO-11500,Delhi,6.08,25,1807,15,51,50,39,18,63,2093.24,298,Low
METRO-11501,Chennai,26.46,96,2516,7,1,97,60,30,88,4905.5,85,Medium
METRO-11502,Delhi,29.3,32,2807,46,40,48,57,11,100,1253.62,312,Medium
METRO-11503,Mumbai,37.38,9,2661,45,61,22,97,32,34,2974.37,276,Medium
METRO-11504,Chennai,12.51,75,129,3,29,1,83,69,24,643.79,358,Low
METRO-11505,Chennai,15.37,73,534,43,87,96,16,41,100,4481.05,224,Medium
METRO-11506,Kolkata,28.91,77,1295,91,37,31,29,50,77,1648.92,363,Medium
METRO-11507,Delhi,49.17,51,3421,16,90,53,91,55,73,2349.53,152,Medium
METRO-11508,Kolkata,11.66,89,146,81,29,19,23,52,95,2272.19,222,Low
METRO-11509,Hyderabad,49.31,24,398,4,8,76,94,86,84,1544.82,29,Medium
METRO-11510,Delhi,36.0,42,1646,71,15,66,95,79,86,3635.9,254,Medium
METRO-11511,Delhi,41.48,41,3641,52,34,92,37,41,58,2967.12,236,Medium
METRO-11512,Hyderabad,5.39,62,1549,4,91,17,58,56,47,1569.41,72,Medium
METRO-11513,Mumbai,15.72,21,4582,34,75,69,62,35,26,4571.39,279,Medium
METRO-11514,Mumbai,3.83,46,3654,22,75,13,92,16,63,2363.52,11,Medium
METRO-11515,Chennai,19.21,96,2860,21,50,67,63,17,33,2646.01,332,Medium
METRO-11516,Bangalore,49.08,99,2603,58,8,89,70,3,58,2592.96,157,Medium
METRO-11517,Kolkata,6.16,36,4357,65,28,75,51,92,73,809.4,125,Medium
METRO-11518,Bangalore,28.56,66,3478,35,50,60,53,50,64,871.47,352,Medium
METRO-11519,Chennai,1.3,91,2898,66,84,37,14,19,59,4158.45,317,Medium
METRO-11520,Bangalore,35.92,25,1538,27,16,57,55,66,68,4108.82,23,Medium
METRO-11521,Delhi,10.66,93,4811,86,32,91,69,56,65,3842.02,78,Medium
METRO-11522,Delhi,7.35,37,438,72,33,40,53,13,37,4135.47,143,Medium
METRO-11523,Hyderabad,17.51,71,3395,82,89,5,80,91,47,1665.99,275,Medium
METRO-11524,Hyderabad,38.78,10,2063,22,17,3,96,43,72,4730.06,82,Low
METRO-11525,Chennai,6.22,96,3023,12,97,71,60,24,32,707.76,172,Medium
METRO-11526,Chennai,12.26,70,2508,72,88,43,43,63,68,2958.43,240,Medium
METRO-11527,Chennai,1.41,36,2933,68,51,94,0,1,94,3013.06,314,Medium
METRO-11528,Delhi,48.45,68,2029,29,50,95,62,37,87,2495.64,146,Medium
METRO-11529,Bangalore,30.02,30,2600,55,97,3,58,77,65,3717.58,24,Medium
METRO-11530,Kolkata,36.28,66,2172,59,49,27,2,5,66,1945.1,49,Low
METRO-11531,Chennai,32.92,9,1207,86,47,6,12,47,58,2010.65,253,Low
METRO-11532,Chennai,8.07,15,2395,96,44,8,10,87,100,868.76,157,Medium
METRO-11533,Delhi,30.15,78,1645,20,78,66,60,99,77,4975.74,328,Medium
METRO-11534,Kolkata,7.44,83,2324,76,65,52,11,80,71,3384.01,48,Medium
METRO-11535,Delhi,20.66,86,265,41,86,96,81,27,113,2901.63,201,Medium
METRO-11536,Kolkata,28.88,53,3519,47,44,19,79,98,73,856.26,287,Medium
METRO-11537,Delhi,28.39,82,225,75,69,18,32,65,78,1780.95,6,Medium
METRO-11538,Bangalore,6.83,96,3540,21,18,15,40,38,28,3024.97,316,Low
METRO-11539,Chennai,2.69,98,981,67,33,2,3,84,104,3774.51,96,Low
METRO-11540,Mumbai,40.11,66,4265,72,36,5,87,40,68,3063.54,201,Medium
METRO-11541,Mumbai,36.57,64,622,94,58,92,99,2,34,4836.51,292,High
METRO-11542,Chennai,5.01,81,1523,49,45,53,46,70,45,1667.92,69,Medium
METRO-11543,Chennai,7.24,88,2819,62,62,97,45,0,67,4255.71,334,Medium
METRO-11544,Chennai,44.74,6,1509,47,86,77,53,48,67,3719.87,272,Medium
METRO-11545,Chennai,38.69,93,3229,65,78,25,70,34,72,775.87,199,Medium
METRO-11546,Kolkata,49.81,63,3645,54,1,33,8,34,78,2081.71,37,Low
METRO-11547,Bangalore,13.45,80,3081,35,37,8,82,48,40,4991.46,72,Medium
METRO-11548,Mumbai,24.9,29,3250,74,88,54,92,61,76,1155.86,340,High
METRO-11549,Hyderabad,12.59,72,1194,28,71,32,69,15,88,1143.91,362,Medium
METRO-11550,Mumbai,31.52,46,1239,99,59,59,35,64,119,3111.06,208,Medium
METRO-11551,Mumbai,6.66,80,4126,97,74,18,57,1,38,3938.96,337,Medium
METRO-11552,Delhi,7.23,75,3356,46,28,72,85,1,39,623.3,169,Medium
METRO-11553,Chennai,4.52,59,114,49,59,38,85,66,36,1674.34,343,Medium
METRO-11554,Chennai,34.99,42,1638,8,68,5,37,58,111,2572.91,349,Low
METRO-11555,Chennai,25.21,47,4895,75,36,22,42,41,58,3571.78,99,Medium
METRO-11556,Delhi,31.27,74,4966,84,83,56,66,98,85,1949.09,162,High
METRO-11557,Bangalore,44.09,57,1810,61,11,8,24,31,32,2871.0,330,Low
METRO-11558,Bangalore,37.28,95,2724,4,79,89,77,15,101,2347.46,278,Medium
METRO-11559,Hyderabad,23.62,25,1560,6,84,9,4,48,91,2848.75,98,Low
METRO-11560,Bangalore,49.23,24,1916,43,36,69,17,52,57,3550.4,12,Medium
METRO-11561,Bangalore,23.36,23,2338,36,57,13,27,65,72,3626.43,262,Low
METRO-11562,Chennai,6.51,37,3737,2,54,16,29,36,77,1381.02,151,Low
METRO-11563,Kolkata,49.64,67,4351,14,20,67,99,52,25,2194.58,26,Medium
METRO-11564,Mumbai,2.12,72,3309,82,91,77,69,50,76,1754.64,252,High
METRO-11565,Bangalore,27.94,64,1799,2,97,23,94,75,47,2093.38,277,Medium
METRO-11566,Bangalore,16.15,23,3076,83,7,12,17,65,84,2090.53,114,Low
METRO-11567,Delhi,25.67,32,414,78,94,58,24,87,58,685.95,194,Medium
METRO-11568,Hyderabad,28.38,26,1808,74,20,64,33,1,101,4230.06,249,Low
METRO-11569,Kolkata,12.76,55,3568,13,66,37,71,1,47,2375.51,263,Medium
METRO-11570,Delhi,28.29,92,4963,3,58,96,91,28,88,4550.42,180,Medium
METRO-11571,Chennai,38.05,67,3853,34,46,16,70,65,103,3452.49,332,Medium
METRO-11572,Mumbai,14.06,66,2558,7,84,13,62,14,88,4641.86,56,Low
METRO-11573,Hyderabad,19.79,98,235,84,92,80,97,44,51,4672.4,74,High
METRO-11574,Delhi,14.14,33,4812,34,31,45,24,84,27,646.19,361,Medium
METRO-11575,Bangalore,41.21,78,913,67,57,15,64,82,47,2522.72,191,Medium
METRO-11576,Bangalore,36.52,36,3051,35,25,70,58,79,38,1550.01,274,Medium
METRO-11577,Hyderabad,43.69,77,2108,77,12,46,65,70,47,1990.52,9,Medium
METRO-11578,Bangalore,9.33,29,2173,43,14,75,97,28,75,1236.34,353,Medium
METRO-11579,Delhi,4.61,20,865,63,1,22,95,82,88,638.67,311,Medium
METRO-11580,Delhi,6.85,19,3894,66,32,5,62,32,82,2152.87,336,Medium
METRO-11581,Bangalore,8.89,63,4663,19,63,37,11,87,54,3912.46,192,Low
METRO-11582,Bangalore,27.12,52,2869,71,30,29,43,50,94,4637.6,326,Medium
METRO-11583,Chennai,48.57,22,3773,56,64,21,53,82,34,2933.48,244,Medium
METRO-11584,Mumbai,18.5,27,3052,54,78,0,25,4,28,1014.71,74,Low
METRO-11585,Hyderabad,47.97,59,4222,13,53,66,53,36,53,2455.74,224,Medium
METRO-11586,Delhi,2.87,46,297,0,14,39,85,88,71,3686.56,152,Medium
METRO-11587,Hyderabad,46.42,7,1097,56,83,0,30,2,79,2531.94,68,Low
METRO-11588,Chennai,9.88,75,4132,83,51,99,96,91,65,1471.86,245,High
METRO-11589,Delhi,45.71,56,1446,13,70,96,21,89,34,3845.34,101,Medium
METRO-11590,Chennai,3.76,15,1819,50,99,47,47,10,57,4088.07,360,Medium
METRO-11591,Chennai,47.46,59,4059,91,42,38,7,10,71,3880.81,224,Low
METRO-11592,Kolkata,10.84,92,540,57,11,43,79,6,55,3015.25,210,Medium
METRO-11593,Bangalore,15.83,29,2073,8,76,48,27,89,46,3344.76,267,Medium
METRO-11594,Kolkata,25.06,96,491,86,4,60,77,67,65,3511.8,32,Medium
METRO-11595,Hyderabad,19.66,80,1770,79,5,74,67,18,84,4648.01,243,Medium
METRO-11596,Hyderabad,33.71,91,1455,47,4,53,23,33,25,1210.61,157,Low
METRO-11597,Bangalore,48.77,85,4196,26,61,95,82,9,68,3054.94,50,Medium
METRO-11598,Kolkata,30.71,45,2355,71,44,18,24,1,73,2720.77,172,Low
METRO-11599,Hyderabad,36.35,41,4209,27,38,20,46,70,32,1511.06,157,Low
METRO-11600,Kolkata,5.31,86,2126,55,69,74,16,34,59,4965.65,271,Medium
METRO-11601,Bangalore,31.76,59,4439,81,5,85,99,31,41,4069.99,364,Medium
METRO-11602,Delhi,23.24,13,3830,33,74,18,65,14,99,1762.88,340,Medium
METRO-11603,Chennai,44.4,40,1398,1,90,27,90,11,87,4076.88,136,Medium
METRO-11604,Chennai,20.02,61,1712,23,15,95,7,62,88,1616.0,81,Low
METRO-11605,Kolkata,34.29,67,207,73,66,89,61,76,83,1761.35,126,High
METRO-11606,Hyderabad,12.18,86,1453,48,85,18,36,42,57,4502.67,159,Medium
METRO-11607,Kolkata,13.71,24,1746,39,31,14,4,71,91,4561.83,31,Low
METRO-11608,Kolkata,19.43,89,4320,7,24,4,45,84,93,4165.14,187,Low
METRO-11609,Mumbai,15.9,51,1216,68,81,11,3,26,47,4977.19,120,Low
METRO-11610,Chennai,13.44,24,511,66,82,22,58,54,55,996.34,231,Medium
METRO-11611,Bangalore,3.43,10,3120,96,93,48,69,80,51,2918.56,163,High
METRO-11612,Kolkata,42.0,77,336,29,34,80,28,74,97,2588.81,325,Medium
METRO-11613,Mumbai,4.15,97,2802,51,45,10,7,71,84,3209.32,322,Low
METRO-11614,Mumbai,44.48,33,308,38,63,94,47,31,101,3246.42,339,Medium
METRO-11615,Chennai,7.15,81,4205,70,53,40,73,9,46,3333.64,132,Medium
METRO-11616,Chennai,4.2,95,3348,84,26,57,98,34,62,1895.07,47,Medium
METRO-11617,Chennai,28.59,53,2913,12,81,71,60,91,115,728.01,312,Medium
METRO-11618,Bangalore,25.62,10,2437,88,12,39,52,95,64,2042.43,188,Medium
METRO-11619,Mumbai,25.07,43,1930,1,30,21,73,3,24,3721.87,358,Low
METRO-11620,Hyderabad,29.15,36,2051,65,66,95,63,90,59,2198.22,63,High
METRO-11621,Bangalore,15.07,53,2227,65,30,9,15,38,53,2867.97,138,Low
METRO-11622,Delhi,33.48,47,3901,78,87,38,75,42,115,4938.91,272,Medium
METRO-11623,Kolkata,25.62,32,2553,14,61,50,24,17,38,3766.91,147,Low
METRO-11624,Chennai,17.4,49,3271,58,36,44,78,31,116,4647.68,235,Medium
METRO-11625,Mumbai,41.5,69,2170,17,21,69,63,68,62,2216.8,221,Medium
METRO-11626,Kolkata,36.66,54,2856,68,96,98,77,27,44,3007.98,143,High
METRO-11627,Bangalore,20.29,58,1513,89,44,74,59,38,56,1471.77,312,Medium
METRO-11628,Delhi,42.53,55,346,29,14,17,69,76,104,2379.83,131,Medium
METRO-11629,Bangalore,46.09,47,4960,77,61,96,99,85,50,1567.68,211,High
METRO-11630,Bangalore,27.31,68,2633,4,77,40,66,26,48,2936.8,361,Medium
METRO-11631,Hyderabad,11.53,99,3662,39,47,76,26,52,71,3126.06,34,Medium
METRO-11632,Kolkata,45.87,34,886,20,14,68,16,8,68,1296.01,165,Low
METRO-11633,Hyderabad,10.28,86,2543,63,28,52,88,90,55,4395.97,148,Medium
METRO-11634,Bangalore,3.37,97,441,7,25,63,34,50,80,1392.84,212,Low
METRO-11635,Delhi,17.05,46,4117,5,21,99,68,80,102,2448.36,141,Medium
METRO-11636,Mumbai,36.62,42,4902,89,3,45,61,11,25,1233.74,329,Medium
METRO-11637,Mumbai,46.24,91,1282,67,32,24,93,11,34,1343.54,285,Medium
METRO-11638,Kolkata,32.23,90,1146,57,56,67,81,98,90,2697.69,176,High
METRO-11639,Chennai,47.64,70,1120,51,68,46,83,91,104,3233.99,364,Medium
METRO-11640,Chennai,5.53,73,3411,29,27,28,26,29,48,833.33,122,Low
METRO-11641,Mumbai,3.98,19,2342,98,34,23,43,26,79,1082.06,213,Medium
METRO-11642,Bangalore,30.61,65,810,56,41,84,80,42,65,2027.13,69,Medium
METRO-11643,Bangalore,48.34,10,3160,26,31,57,62,95,48,857.62,169,Medium
METRO-11644,Hyderabad,25.63,82,1261,90,92,74,97,57,59,3617.41,278,High
METRO-11645,Kolkata,3.52,28,2657,43,45,26,55,52,102,4563.0,238,Medium
METRO-11646,Hyderabad,11.84,89,826,68,23,47,7,5,79,3693.18,275,Low
METRO-11647,Chennai,12.99,18,4479,10,93,40,56,94,118,3170.79,272,Medium
METRO-11648,Mumbai,17.55,16,1616,42,72,73,75,0,65,4754.82,127,Medium
METRO-11649,Bangalore,3.14,59,4634,34,47,10,60,42,110,2243.84,76,Low
METRO-11650,Mumbai,45.34,72,3797,10,53,42,98,20,112,577.91,298,Medium
METRO-11651,Delhi,26.26,48,4952,53,17,72,2,75,42,875.8,250,Medium
METRO-11652,Mumbai,33.88,89,2364,49,10,2,46,11,68,4600.82,229,Low
METRO-11653,Delhi,4.29,85,3080,60,21,48,13,45,88,4871.78,239,Low
METRO-11654,Hyderabad,3.65,97,3441,4,86,48,44,85,103,768.04,242,Medium
METRO-11655,Hyderabad,29.74,55,4150,25,92,43,78,37,31,4634.56,354,Medium
METRO-11656,Chennai,44.48,84,4872,96,76,5,38,50,51,1236.19,225,Medium
METRO-11657,Mumbai,26.9,86,3029,32,95,47,66,79,47,2148.53,213,Medium
METRO-11658,Mumbai,44.01,42,1742,22,57,88,23,75,91,3890.81,351,Medium
METRO-11659,Delhi,40.74,45,1883,57,73,70,61,44,87,2288.55,271,Medium
METRO-11660,Hyderabad,4.72,48,1974,70,42,26,1,13,110,3993.45,287,Low
METRO-11661,Delhi,10.9,79,952,95,5,49,68,8,41,3551.9,299,Medium
METRO-11662,Hyderabad,33.23,96,3200,8,84,85,67,1,38,4694.1,163,Medium
METRO-11663,Delhi,22.73,20,1844,15,34,82,99,28,105,2480.17,134,Medium
METRO-11664,Hyderabad,15.24,54,2140,72,2,93,1,60,76,2815.24,320,Medium
METRO-11665,Delhi,21.51,98,809,43,84,85,61,34,66,3967.11,175,Medium
METRO-11666,Hyderabad,22.81,42,2748,27,83,22,10,85,71,4872.67,176,Medium
METRO-11667,Kolkata,45.62,90,169,22,42,75,16,68,31,2125.84,166,Medium
METRO-11668,Delhi,6.07,9,4900,11,33,65,11,4,99,4715.91,123,Low
METRO-11669,Mumbai,14.71,13,145,41,2,28,82,43,100,3589.26,339,Medium
METRO-11670,Chennai,27.34,81,3234,8,44,92,76,49,111,4560.36,101,Medium
METRO-11671,Kolkata,35.22,43,1754,57,44,13,82,54,88,1711.82,109,Medium
METRO-11672,Kolkata,31.9,91,1016,75,36,72,83,83,98,3726.47,220,Medium
METRO-11673,Delhi,47.14,31,2644,72,52,89,20,96,35,2411.3,137,Medium
METRO-11674,Chennai,39.98,36,1150,18,4,28,55,43,39,2368.67,199,Low
METRO-11675,Mumbai,28.3,68,1314,35,49,4,30,68,57,1228.51,234,Low
METRO-11676,Kolkata,11.52,99,1914,96,74,85,30,61,39,1802.09,62,Medium
METRO-11677,Mumbai,23.09,37,3399,76,63,58,68,6,77,4084.45,220,Medium
METRO-11678,Hyderabad,34.98,94,4419,65,16,92,39,68,44,3306.74,295,Medium
METRO-11679,Chennai,42.06,22,3466,56,3,76,1,0,87,1600.01,294,Low
METRO-11680,Bangalore,48.03,80,1181,56,7,17,10,82,61,4144.08,363,Low
METRO-11681,Hyderabad,30.67,71,912,24,40,70,51,72,80,4777.56,37,Medium
METRO-11682,Chennai,26.82,9,4916,12,21,76,23,80,114,2408.38,236,Low
METRO-11683,Delhi,1.87,82,1024,58,95,60,47,38,102,4826.0,323,Medium
METRO-11684,Delhi,4.53,63,4691,12,26,47,61,8,39,1454.74,357,Low
METRO-11685,Mumbai,8.65,80,3269,96,57,99,94,51,72,737.76,271,High
METRO-11686,Kolkata,3.68,8,2205,26,5,84,1,79,110,688.4,126,Low
METRO-11687,Bangalore,20.64,20,1470,39,30,91,89,82,58,3408.75,3,Medium
METRO-11688,Delhi,17.51,79,628,82,58,43,16,77,48,3589.6,12,Medium
METRO-11689,Chennai,32.23,52,731,85,3,37,59,99,115,3324.56,117,Medium
METRO-11690,Kolkata,27.25,70,634,51,46,2,54,35,67,4268.76,277,Low
METRO-11691,Kolkata,30.2,81,4677,16,93,27,48,43,47,3562.45,361,Medium
METRO-11692,Chennai,24.13,12,2869,50,42,53,74,66,27,3888.12,257,Medium
METRO-11693,Kolkata,14.61,48,312,1,96,44,54,25,93,2988.81,280,Medium
METRO-11694,Delhi,47.69,25,2295,11,94,85,41,10,37,1573.07,325,Medium
METRO-11695,Chennai,5.23,30,1219,96,59,42,76,42,90,1106.37,314,Medium
METRO-11696,Chennai,47.01,39,4655,27,27,32,89,27,108,4806.18,84,Medium
METRO-11697,Mumbai,16.25,19,4268,89,88,12,93,39,57,1642.24,147,Medium
METRO-11698,Bangalore,26.12,44,4526,24,62,40,19,10,25,1645.24,311,Low
METRO-11699,Mumbai,6.33,34,4244,91,16,56,71,11,30,4604.08,140,Medium
METRO-11700,Bangalore,4.48,70,3393,94,94,4,63,41,58,4589.45,86,Medium
METRO-11701,Chennai,22.05,84,893,30,49,99,83,90,46,2661.67,131,Medium
METRO-11702,Kolkata,37.34,17,4700,26,99,7,74,75,107,4984.69,62,Medium
METRO-11703,Bangalore,14.2,5,2687,58,16,65,27,32,48,1298.58,172,Low
METRO-11704,Chennai,28.56,47,2966,0,9,43,74,4,91,2488.36,133,Low
METRO-11705,Chennai,14.65,32,779,34,47,42,72,20,30,1194.54,246,Medium
METRO-11706,Mumbai,20.04,5,2893,96,21,80,35,29,41,2537.44,59,Medium
METRO-11707,Mumbai,45.42,44,1302,0,63,3,26,32,80,4977.91,284,Low
METRO-11708,Kolkata,42.94,38,156,8,94,18,5,73,77,2037.35,213,Low
METRO-11709,Hyderabad,26.28,17,435,32,29,33,27,0,77,2523.5,33,Low
METRO-11710,Delhi,12.67,65,2643,43,19,61,12,28,39,4934.21,240,Low
METRO-11711,Hyderabad,10.47,70,683,52,13,80,86,70,34,1401.34,115,Medium
